Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Name
Ticker,D,DG,DPZ,DUK,D,DG,DPZ,DUK,D,DG,DPZ,DUK,D,DG,DPZ,DUK,D,DG,DPZ,DUK,
Date,,,,,,,,,,,,,,,,,,,,,
2013-04-08,36.996490478515625,44.57401657104492,44.97597885131836,44.537994384765625,37.002650690596454,44.68908149745858,44.99357204800531,44.58069601363559,36.54073346070046,44.29963201618691,44.24587628882594,43.738857252872805,36.707021595962395,44.503206346661955,44.55375219750891,43.90356686003443,1257600,3150200,273000,3433000,MRK
2013-04-09,36.860992431640625,44.12260437011719,44.57133483886719,44.300086975097656,37.439930172021384,44.76873577017248,44.98476650532962,44.586795267375834,36.83635863266697,44.04294456575536,44.35142494914183,44.245182218446104,37.42145188600061,44.680223000649946,44.98476650532962,44.586795267375834,1891600,7493300,411400,1950100,MRK
2013-04-10,37.05809020996094,44.46780014038086,45.52134323120117,44.40380096435547,37.27365306167161,45.441416992844175,45.662085414215404,44.702712454149676,36.86716586492474,44.04294558962985,44.53614795010156,44.33059615590124,36.86716586492474,44.16686346984214,44.597722445447886,44.51360584997189,2514100,6801000,489300,2130700,MRK
2013-04-11,36.947208404541016,44.503196716308594,45.83803176879883,44.635589599609375,37.23667484267125,45.007707638401996,46.54174295693709,44.80639609016347,36.947208404541016,44.44123947158952,45.39821185676746,44.37937986377823,37.10118076397922,44.52975223291435,45.44219317685867,44.489184701152695,2910300,5470800,692400,2409100,MRK
2013-04-12,37.02727508544922,44.52975082397461,45.61810302734375,44.51360321044922,37.082705232934416,44.99885662669538,45.82921461907011,44.782016171402134,36.885620786194146,44.13145185165674,45.143096912622084,44.39769676746872,36.93489307259517,44.467793581215886,45.68847243939979,44.53190324794518,3001600,2347800,537800,2546500,MRK
2013-04-15,36.503780364990234,44.1668586730957,44.325035095214844,44.09880065917969,37.168939974898294,44.78643112478345,45.68847568684896,44.89183203644629,36.503780364990234,43.91902631600397,44.16669971238678,44.09880065917969,36.953379534056005,44.264217646634755,45.48615899891498,44.416012279260094,1915200,3509300,682600,2515900,MRK
2013-04-16,36.84251403808594,44.67137908935547,44.72966384887695,44.879615783691406,36.86098997344215,44.7067808252469,44.91439068012633,44.89791582031514,36.18967024545643,43.85707838834027,44.38660500671947,44.19638494025269,36.596157269319114,44.237674904616284,44.5801267558578,44.39159308778813,1535100,3536500,506200,2576600,MRK
2013-04-17,36.54072189331055,45.93708419799805,43.7620735168457,44.6234016418457,36.75012204912012,45.95478337813701,44.47458285647801,44.75150653993689,36.349795319597845,44.405845131836344,43.48058909131272,44.245183856436775,36.7131701860628,44.41469809832325,44.32504236791166,44.70880490723983,1723200,6858300,606100,2159400,MRK
2013-04-18,36.83019256591797,45.40602111816406,43.894020080566406,44.678314208984375,36.891782927142096,46.016747548807814,44.02596401534227,44.855222352112996,36.466817657707836,44.84840236126863,43.18151075276442,44.49530915529043,36.620790036620065,45.93708772639418,43.87642688481783,44.6844157736799,1889200,4107100,398500,1656200,MRK
2013-04-19,37.61238098144531,45.866268157958984,44.49217224121094,45.34933090209961,37.624699056457096,45.90167326658395,44.676895750475765,45.37373250075441,36.77477067610456,45.27324778236727,43.955591552391304,44.67830322854434,36.89179121400023,45.556481898533015,43.97318474692492,44.80031122181833,2953200,4407800,322100,2052200,MRK
2013-04-22,37.54462814331055,45.69810104370117,44.756072998046875,45.31273651123047,37.71091861144546,45.92822750743961,44.932001625363526,45.428642955837624,37.35986173963808,45.476824169314646,44.30745483061144,45.08702984010662,37.59390043732043,45.79546340865798,44.668107006608814,45.33103654898325,1628500,1895800,309100,1454600,MRK
2013-04-23,37.5754280090332,46.15835189819336,44.87040710449219,45.392032623291016,37.69860641382478,46.53009538259487,45.26624553018964,45.532335983778374,37.25516744578083,45.79545800209898,44.48336695245369,45.050414930624235,37.62470031072289,45.85741524949924,44.923186679771256,45.532335983778374,1271800,2936300,337700,1876300,MRK
2013-04-24,37.64316940307617,46.105255126953125,45.23985290527344,45.58113479614258,37.790983931829956,46.68057641886652,45.49494912699233,45.81904451856712,37.341384833125865,46.034444898107,44.756051924620365,45.15411388487504,37.64932961438337,46.31768243707397,44.86160770908554,45.446928357005014,1320200,1604700,331000,1812500,MRK
2013-04-25,37.415287017822266,46.65400314331055,45.670875549316406,45.837371826171875,37.63084740243199,46.82217568462283,46.251440768448475,45.97157834516967,37.14429648439405,46.20259992363373,45.23985412703457,45.568958788176296,37.57541725361349,46.23800502458539,45.50374527310316,45.75807008955087,2704200,2071000,402100,2000400,MRK
2013-04-26,37.5754280090332,46.760231018066406,46.07551574707031,45.66655349731445,37.92032707256308,46.86644297306116,46.29542561155825,46.00816661859929,37.27980124719302,46.4150362556034,45.4333793454325,45.64215189520415,37.39682178898971,46.5301011764244,45.653289209920445,45.81295845584657,1641700,2082000,522700,2431100,MRK
2013-04-29,37.6986083984375,46.18491744995117,46.5769157409668,45.873966217041016,37.82794467303276,46.90185586200561,47.06071683167603,45.99597424377106,37.101196980312004,46.14951233360874,45.99635376100398,45.66655955279544,37.29828149858082,46.75138580575914,46.35700584922999,45.776364449787316,1672400,1231300,795500,1657800,MRK
2013-04-30,37.98806381225586,46.105255126953125,48.55610656738281,45.873966217041016,38.01269995564242,46.299979879862434,49.655656066845474,45.92276942773304,37.56925877241212,45.76006370237211,47.63248565894593,45.49575296950372,37.63084678144657,46.23802261783085,48.36258478169857,45.77026288491823,2092200,1553400,1259400,2240700,MRK
2013-05-01,37.65549087524414,46.05215072631836,48.06351089477539,45.684852600097656,38.09277194023739,46.556661825220125,48.68805425335927,46.03256727832403,37.575424567048955,46.01674898579832,47.720451961343656,45.6116477952654,38.03734178063033,46.02559857682389,48.57370351258805,45.75195584099482,1476600,1579600,911600,1639500,MRK
2013-05-02,37.63701629638672,46.370784759521484,48.81120300292969,45.617759704589844,37.79714656912183,46.468147131834016,49.039907823057725,45.8312679494422,37.43993179943618,45.87512668435573,48.1162869118518,45.276146512826074,37.661652445863666,46.04329590608448,48.17786141556161,45.67266448419798,1681800,1485700,895000,2473400,MRK
2013-05-03,37.51382827758789,46.459285736083984,49.242210388183594,45.42863464355469,37.87720316616742,46.91068899360673,49.26859849489322,45.90445415458278,37.35369804591999,46.096391861944824,48.60886898268997,45.22732495684933,37.790979014543794,46.459285736083984,49.07508011975958,45.84955405136975,2238200,2925200,801700,3091600,MRK
